date,order_id,client_id,product_family_id,qty,total_price
2014-01-06,sdEPtaazzrE,CBwaVzs,12,2,102.83333333333333
2014-01-06,sdEPtaazzya,CZwaZa,3,1,9.666666666666666
2014-01-06,sdEPtaazzot,CZBwZrt,3,1,10.416666666666666
2014-01-06,sdEPtaazzyy,CBwazB,2,1,226.66666666666666
2014-01-06,sdEPtaazzyy,CBwazB,11,1,16.583333333333332
2014-01-06,sdEPtaazzoU,CBwazz,1,2,297.5
2014-01-06,sdEPtaazzUP,CBzszBzs,2,1,32.416666666666664
2014-01-06,sdEPtaazzry,CBzrtza,5,2,20.0
2014-01-06,sdEPtaazzit,CZzaaB,5,2,5.5
2014-01-06,sdEPtaazzit,CZzaaB,5,4,5.0
2014-01-06,sdEPtaazziU,CZzaaB,5,2,2.5
2014-01-06,sdEPtaazzEo,CZBwZrt,2,1,109.16666666666667
2014-01-06,sdEPtaazzot,CZBwZrt,1,1,49.916666666666664
2014-01-06,sdEPtaazziU,CZzaaB,5,1,5.416666666666667
2014-01-06,sdEPtaazzrz,CZazsaa,2,1,30.75
2014-01-06,sdEPtaazzyE,CBwwZz,2,1,30.75
2014-01-06,sdEPtaazzyE,CBwwZz,2,2,66.5
2014-01-06,AdEAtPPEoUE,UNKNOWN_CLIENT,2,-1,-169.38333333333333
2014-01-06,sdEPtaazzir,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazziE,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazziz,CZzaaB,5,3,94.25
2014-01-06,sdEPtaazzia,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazzUU,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazztt,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazzUi,CBzzZB,1,1,0.0
2014-01-06,sdEPtaazztr,CZzaaB,5,3,94.25
2014-01-06,sdEPtaazzrP,CZzazszs,11,5,31.25
2014-01-06,sdEPtaazztz,CZzaaB,5,2,62.833333333333336
2014-01-06,sdEPtaazzoP,CBzszsaV,3,1,8.108333333333333
2014-01-06,sdEPtaazzoP,CBzszsaV,3,2,13.883333333333333
2014-01-06,sdEPtaazzyE,CBwwZz,8,3,98.8
2014-01-06,sdEPtaazzio,CZzaaB,11,1,1.4166666666666667
2014-01-06,sdEPtaazztE,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazziy,CZzaaB,5,1,31.416666666666668
2014-01-06,sdEPtaazzUP,CBzszBzs,12,1,4.0525
2014-01-06,sdEPtaazzUy,CBwBazs,5,3,17.044999999999998
